UAI;Nom_lycee;taux_poursuite_etude
0020012C;LYCEE POLYVALENT JEAN DE LA FONTAINE LYCEE DES METIERS DE LA SANTE DE LA GESTION ET DU COMMERCE;50
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC;31
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC LYCEE DES METIERS;31
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC;24
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC LYCEE DES METIERS;24
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC;25
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC LYCEE DES METIERS;25
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC LYCEE DES METIERS;28
0020014E;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE GAY LUSSAC;28
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;85
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;17
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;46
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;86
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;49
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;73
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;77
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;44
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;67
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;75
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;45
0020022N;LYCEE PROFESSIONNEL JEAN MONNET;43
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;57
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;13
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;52
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;48
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;41
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;62
0020025S;LYCEE PROFESSIONNEL CHATEAU POTEL LYCEE DES METIERS HORTICULTURE ET MAINTENANCE (VEHICULES INDUSTRIE;61
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE;25
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE LYCEE DES METIERS DE LA;25
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE LYCEE DES METIERS DE LA;30
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE;30
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE LYCEE DES METIERS DE LA;24
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE;24
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE LYCEE DES METIERS DE LA;22
0020031Y;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE FREDERIC ET IRENE JOLIOT CURIE;22
0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;42
0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;33
0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;39
0020032Z;LYCEE GENERAL ET TECHNOLOGIQUE PAUL CLAUDEL;35
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;50
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;61
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;63
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;62
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;30
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;64
0020034B;LYCEE POLYVALENT PIERRE MECHAIN;40
