region;Nom_lycee;IPS_voie_pro
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLIE CHAPLIN;87.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CHARLIE CHAPLIN;88.6
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;88.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;92
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;94.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT CLAUDE BERNARD LYCEE DES METIERS DE LA VENTE DES SERVICES ET DU COMMERCE;95.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE HAUTE AUVERGNE;86.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE HAUTE AUVERGNE;90.5
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE HAUTE AUVERGNE;92
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT;79
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT;79.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT;80.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT;81.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);79
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);79.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);80.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE L EDIT (A ABSORBE L'UAI 0381606P EN 2017);81.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE LA MATHEYSINE;91.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE LA MATHEYSINE;92
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE LA MATHEYSINE;92.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DE LA MATHEYSINE;93.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DES GLIERES;80.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DES GLIERES;81.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DES GLIERES;81.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DES GLIERES;82.2
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;79.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;79.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;80.4
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DOCTEUR GUSTAVE JAUME;80.8
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;85.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;87.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;89.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DE METIERS DU CUIR;90.3
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;85.1
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;87.7
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;89.9
AUVERGNE-RHONE-ALPES;LYCEE POLYVALENT DU DAUPHINE LYCEE DES METIERS DU CUIR;90.3
