UAI;Nom_lycee;taux_de_reussite
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;70
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;74
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;100
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;72
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;86
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;64
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;83
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;90
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;81
0740013M;LPO GUILLAUME FICHET;87
0740013M;LPO GUILLAUME FICHET;82
0740013M;LPO GUILLAUME FICHET;78
0740013M;LPO GUILLAUME FICHET;91
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;92
0390033Z;LPO HYACINTHE FRIANT LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;96
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;78
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;55
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;83
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DE LA SECURITE ET DE LA PREVENTION LYCEE DES METIERS DES SERVICES ;66
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;83
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;55
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;66
590185,00 F;LPO JEAN MOULIN LYCEE DES METIERS DU WEB LYCEE DES METIERS PREVENTION ET SECURITE LYCEE DES METIERS ;78
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;83
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;86
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;87
0250011B;LPO JULES HAAG LYCEE DES METIERS DE LA MICROTECHNIQUE ET DE L AUTOMATIQUE;81
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;81
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;85
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;84
0701035V;LPO LOUIS ARAGON LYCEE DES METIERS DE L ENERGIE ET DU DEVELOPPEMENT DURABLE;86
