Année;UAI;Libellé;Région;Niveau formation;Taux interruption formation;Taux poursuite études;Taux emploi 6 mois;Taux emploi 12 mois;Taux emploi 18 mois;Taux emploi 24 mois
cumul 2018-2019;0130058T;Lycée professionnel L'Estaque - lycée des métiers du nautisme et de la sécurité;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;46.0;35.0;27.0;35.0;35.0;42.0
cumul 2018-2019;0130072H;Lycée professionnel Ampère;PROVENCE-ALPES-COTE D'AZUR;CAP;49.0;57.0;31.0;35.0;33.0;43.0
cumul 2018-2019;0130150T;Lycée professionnel Jean Moulin - Lycée des métiers de la maintenance, de l'automobile et du nautisme;PROVENCE-ALPES-COTE D'AZUR;BP;30.0;15.0;55.0;70.0;64.0;52.0
cumul 2018-2019;0131402D;LYCEE DES METIERS PRIVE CHARLES PEGUY;PROVENCE-ALPES-COTE D'AZUR;BTS;28.0;19.0;54.0;55.0;56.0;56.0
cumul 2018-2019;0131415T;Lycée professionnel privé Célony -Lycée des métiers de la communication, du commerce et des services à la personne;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;19.0;46.0;44.0;56.0;50.0;46.0
cumul 2018-2019;0131433M;LYCEE DES METIERS PRIVE SAINT HENRI - Lycée des métiers du bâtiment connecté et des énergies renouvelables;PROVENCE-ALPES-COTE D'AZUR;MC4;37.0;50.0;;;;
cumul 2018-2019;0131606A;Lycée professionnel La Calade - lycée des métiers de la mode et du tertiaire;PROVENCE-ALPES-COTE D'AZUR;BAC PRO;55.0;64.0;35.0;38.0;47.0;45.0
cumul 2018-2019;0131862D;Lycée général et technologique privé le Sacré-Coeur;PROVENCE-ALPES-COTE D'AZUR;BTS;51.0;68.0;;;;
cumul 2018-2019;0133015G;Lycée polyvalent Pierre Mendès France - lycée des métiers de l'aeronautique;PROVENCE-ALPES-COTE D'AZUR;MC4;;;;;;
cumul 2018-2019;0133274N;Lycée professionnel privé Jeanne d'Arc;PROVENCE-ALPES-COTE D'AZUR;BTS;17.0;11.0;38.0;46.0;50.0;67.0
cumul 2018-2019;0141418R;Lycée technologique privé Les Rosiers;NORMANDIE;BTS;;25.0;;;;
cumul 2018-2019;0141866C;Lycée professionnel privé Institut Lemonnier - Lycée des métiers des systèmes numériques et de l'énergie;NORMANDIE;BAC PRO;39.0;62.0;48.0;52.0;55.0;57.0
cumul 2018-2019;0150047V;Lycée polyvalent privé de la Communication Saint Géraud;AUVERGNE-RHONE-ALPES;BTS;26.0;44.0;35.0;47.0;44.0;58.0
cumul 2018-2019;0170070J;Lycée Polyvalent du Pays d'Aunis - Lycée des métiers du bois;NOUVELLE-AQUITAINE;BAC PRO;70.0;38.0;50.0;40.0;50.0;65.0
cumul 2018-2019;0190034J;Lycée professionnel René Cassin;NOUVELLE-AQUITAINE;BAC PRO;36.0;54.0;46.0;46.0;52.0;48.0
cumul 2018-2019;0190034J;Lycée professionnel René Cassin;NOUVELLE-AQUITAINE;CAP;39.0;38.0;32.0;29.0;39.0;45.0
cumul 2018-2019;0210018F;Lycée polyvalent Hippolyte Fontaine, lycée des métiers;BOURGOGNE-FRANCHE-COMTE;BAC PRO;38.0;52.0;51.0;53.0;58.0;64.0
cumul 2018-2019;0210019G;Lycée polyvalent Le Castel;BOURGOGNE-FRANCHE-COMTE;BAC PRO;35.0;50.0;55.0;47.0;55.0;54.0
cumul 2018-2019;0210019G;Lycée polyvalent Le Castel;BOURGOGNE-FRANCHE-COMTE;CAP;27.0;39.0;31.0;19.0;35.0;33.0
cumul 2018-2019;0211356K;Lycée professionnel Antoine;BOURGOGNE-FRANCHE-COMTE;CAP;32.0;70.0;;;;
cumul 2018-2019;0212015B;Lycée polyvalent Simone Weil;BOURGOGNE-FRANCHE-COMTE;CAP;26.0;43.0;;;;
cumul 2018-2019;0212045J;Lycée polyvalent Marey;BOURGOGNE-FRANCHE-COMTE;BAC PRO;27.0;57.0;42.0;47.0;53.0;53.0
cumul 2018-2019;0220057T;Lycée général et technologique Ernest Renan;BRETAGNE;BTS;26.0;29.0;56.0;64.0;61.0;66.0
cumul 2018-2019;0220064A;Lycée professionnel hotelier La Closerie;BRETAGNE;BTS;;;;;;
cumul 2018-2019;0240048X;Lycée professionnel Pré de Cordy;NOUVELLE-AQUITAINE;BAC PRO;37.0;54.0;34.0;56.0;38.0;65.0
cumul 2018-2019;0251994G;Lycée polyvalent Germaine Tillion;BOURGOGNE-FRANCHE-COMTE;CAP;23.0;41.0;;;;
cumul 2018-2019;0260019E;Lycée polyvalent Docteur Gustave Jaume;AUVERGNE-RHONE-ALPES;CAP;46.0;43.0;22.0;34.0;27.0;39.0
cumul 2018-2019;0260037Z;Lycée professionnel Victor Hugo;AUVERGNE-RHONE-ALPES;MC5;;;;;;
cumul 2018-2019;0271319M;Lycée professionnel Porte de Normandie;NORMANDIE;MC4;;;;;;
cumul 2018-2019;0271585B;Lycée polyvalent Jean Moulin;NORMANDIE;BTS;28.0;46.0;;;;
cumul 2018-2019;0281047L;Lycée général et technologique Fulbert;CENTRE-VAL DE LOIRE;BTS;26.0;39.0;68.0;69.0;75.0;75.0
cumul 2018-2019;0281077U;Lycée polyvalent Silvia Monfort - Lycée des métiers des echanges internationaux;CENTRE-VAL DE LOIRE;BTS;25.0;39.0;66.0;71.0;67.0;65.0
cumul 2018-2019;0290078C;Lycée professionnel Roz Glas;BRETAGNE;CAP;28.0;54.0;;;;
cumul 2018-2019;0290186V;Lycée polyvalent privé Le Paraclet - Lycée des métiers de l'hôtellerie, de la restauration et la boulangerie-pâtisserie;BRETAGNE;BAC PRO;20.0;70.0;62.0;65.0;73.0;85.0
cumul 2018-2019;0290340M;Lycée polyvalent privé Estran Fénelon - Lycée des métiers des services à la personne - Lycée des métiers de l'hôtellerie-restauration et du tourisme;BRETAGNE;CAP;36.0;45.0;;;;
cumul 2018-2019;0300027S;Lycée polyvalent Ernest Hemingway;OCCITANIE;BTS;34.0;43.0;48.0;52.0;52.0;56.0
cumul 2018-2019;0300028T;Lycée professionnel privé Cévenol;OCCITANIE;BAC PRO;35.0;67.0;41.0;45.0;49.0;57.0
