UAI;Nom_lycee;IPS_voie_pro
0382893N;LYCEE PROFESSIONNEL PRIVE JEAN MARIE VIANNEY;85,4
0382893N;LYCEE PROFESSIONNEL PRIVE JEAN MARIE VIANNEY;74,9
0382893N;LYCEE PROFESSIONNEL PRIVE JEAN MARIE VIANNEY;74,6
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;100,8
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;92,1
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;98
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;97,9
0593066M;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;77,9
0593066M;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;76,3
0593066M;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;67,6
0593066M;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II;71,4
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II LYCEE DES METIERS DES SERVICES A LA PERSONNE;100,8
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II LYCEE DES METIERS DES SERVICES A LA PERSONNE;98
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II LYCEE DES METIERS DES SERVICES A LA PERSONNE;97,9
0601946P;LYCEE PROFESSIONNEL PRIVE JEAN PAUL II LYCEE DES METIERS DES SERVICES A LA PERSONNE;92,1
0381733C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;93
0381733C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;87,7
0381733C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;96,2
0381733C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;89
0133274N;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;83,5
0080093H;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;83
0133274N;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,6
0133274N;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;85,2
0133274N;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;82,3
0080093H;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,6
0080093H;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;79,8
0080093H;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;75
0880133S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,6
0881498A;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;90,5
0881498A;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;85,3
0880133S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;78,1
0880133S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;77,4
0881498A;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;85,9
0880133S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,1
0730773U;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;82,4
0730773U;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,4
0730773U;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;86,3
0730773U;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;82,2
0120105Z;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;92
0120105Z;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;88,2
0120105Z;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;91,4
0120105Z;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;86,6
0391001B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;84,6
0391001B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80
0391001B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;80,2
0391001B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;81,2
0610721C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;92,3
0610721C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;97,2
0331569B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;78,7
0331569B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;81,1
0331569B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;83
0610721C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;97,7
0881651S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;76,2
0881651S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;79
0881651S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;79,3
0740156T;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;92,2
0740156T;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC;94,9
0511153B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LA SALLE;97,2
0511153B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LA SALLE;104,2
0511153B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LA SALLE;106,8
0511153B;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LA SALLE;105,1
0810108C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DE LA VENTE;77,7
0810108C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DE LA VENTE;79
0810108C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DE LA VENTE;82,8
0810108C;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DE LA VENTE;87,8
0950812S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DU COMMERCE ET DES SERVICES AUX ENTREPRISES;106
0950812S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DU COMMERCE ET DES SERVICES AUX ENTREPRISES;113,6
0950812S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DU COMMERCE ET DES SERVICES AUX ENTREPRISES;103,7
0950812S;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC LYCEE DES METIERS DU COMMERCE ET DES SERVICES AUX ENTREPRISES;111,3
0271074W;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC SAINT ANSELME;93,2
0271074W;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC SAINT ANSELME;89,4
0271074W;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC SAINT ANSELME;94,6
0271074W;LYCEE PROFESSIONNEL PRIVE JEANNE D ARC SAINT ANSELME;92,7
0930929E;LYCEE PROFESSIONNEL PRIVE JEANNE LA LORRAINE;102,8
0930929E;LYCEE PROFESSIONNEL PRIVE JEANNE LA LORRAINE;98,7
0930929E;LYCEE PROFESSIONNEL PRIVE JEANNE LA LORRAINE;103
0930929E;LYCEE PROFESSIONNEL PRIVE JEANNE LA LORRAINE;108,2
100078,00 F;LYCEE PROFESSIONNEL PRIVE JEANNE MANCE;80,7
100078,00 F;LYCEE PROFESSIONNEL PRIVE JEANNE MANCE;85,7
100078,00 F;LYCEE PROFESSIONNEL PRIVE JEANNE MANCE;87,9
100078,00 F;LYCEE PROFESSIONNEL PRIVE JEANNE MANCE;88,7
720825,00 F;LYCEE PROFESSIONNEL PRIVE JOSEPH ROUSSEL;95,1
720825,00 F;LYCEE PROFESSIONNEL PRIVE JOSEPH ROUSSEL;93,1
720825,00 F;LYCEE PROFESSIONNEL PRIVE JOSEPH ROUSSEL;96
720825,00 F;LYCEE PROFESSIONNEL PRIVE JOSEPH ROUSSEL;94,2
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI;105,2
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI;95,3
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI;103,5
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI;100,3
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC;103,5
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC;100,3
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC;95,3
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC;105,2
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC (A ABSORBE L'UAI 0492082X EN 2017);103,5
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC (A ABSORBE L'UAI 0492082X EN 2017);100,3
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC (A ABSORBE L'UAI 0492082X EN 2017);105,2
0492432C;LYCEE PROFESSIONNEL PRIVE JOSEPH WRESINSKI ITEC (A ABSORBE L'UAI 0492082X EN 2017);95,3
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DE LA RELATION DANS LE COMMERCE LES SERVIC;93,5
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DE LA RELATION DANS LE COMMERCE LES SERVIC;96,5
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DE LA RELATION DANS LE COMMERCE LES SERVIC;93,9
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DE LA RELATION DANS LE COMMERCE LES SERVIC;94,1
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DU COMMERCE DES SERVICES DE LA SANTE ET DU;93,5
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DU COMMERCE DES SERVICES DE LA SANTE ET DU;96,5
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DU COMMERCE DES SERVICES DE LA SANTE ET DU;93,9
0070115M;LYCEE PROFESSIONNEL PRIVE JULES FROMENT LYCEE DES METIERS DU COMMERCE DES SERVICES DE LA SANTE ET DU;94,1
0221866J;LYCEE PROFESSIONNEL PRIVE KERSA LA SALLE;87,6
0221866J;LYCEE PROFESSIONNEL PRIVE KERSA LA SALLE;86,8
0221866J;LYCEE PROFESSIONNEL PRIVE KERSA LA SALLE;86,2
0221866J;LYCEE PROFESSIONNEL PRIVE KERSA LA SALLE;89,1
450759,00 F;LYCEE PROFESSIONNEL PRIVE L ABBAYE;86,4
450759,00 F;LYCEE PROFESSIONNEL PRIVE L ABBAYE;82,7
450759,00 F;LYCEE PROFESSIONNEL PRIVE L ABBAYE;82,5
450759,00 F;LYCEE PROFESSIONNEL PRIVE L ABBAYE;88,3
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLECTIVITE;84,8
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLECTIVITE;86,3
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLECTIVITE;84,2
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLECTIVITE;85,4
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLLECTIVITE;84,8
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLLECTIVITE;86,3
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLLECTIVITE;84,2
0141186N;LYCEE PROFESSIONNEL PRIVE L OASIS LYCEE DES METIERS DE SERVICE A LA PERSONNE ET A LA COLLECTIVITE;85,4
0501788X;LYCEE PROFESSIONNEL PRIVE LA BUCAILLE;92,5
0501788X;LYCEE PROFESSIONNEL PRIVE LA BUCAILLE;99
0501788X;LYCEE PROFESSIONNEL PRIVE LA BUCAILLE;95,5
0501788X;LYCEE PROFESSIONNEL PRIVE LA BUCAILLE;91,5
0131463V;LYCEE PROFESSIONNEL PRIVE LA CABUCELLE;58,1
0131463V;LYCEE PROFESSIONNEL PRIVE LA CABUCELLE;55,9
0131463V;LYCEE PROFESSIONNEL PRIVE LA CABUCELLE;67
0131463V;LYCEE PROFESSIONNEL PRIVE LA CABUCELLE;61,3
0830128N;LYCEE PROFESSIONNEL PRIVE LA COLETTE;90,1
0830128N;LYCEE PROFESSIONNEL PRIVE LA COLETTE;97,4
0830128N;LYCEE PROFESSIONNEL PRIVE LA COLETTE;100,6
0830128N;LYCEE PROFESSIONNEL PRIVE LA COLETTE;95,1
0690697H;LYCEE PROFESSIONNEL PRIVE LA FAVORITE SAINTE THERESE;114,3
0690697H;LYCEE PROFESSIONNEL PRIVE LA FAVORITE SAINTE THERESE;112,7
0690697H;LYCEE PROFESSIONNEL PRIVE LA FAVORITE SAINTE THERESE;111,1
0690697H;LYCEE PROFESSIONNEL PRIVE LA FAVORITE SAINTE THERESE;108,1
0740148J;LYCEE PROFESSIONNEL PRIVE LA FONTAINE;103,4
0740148J;LYCEE PROFESSIONNEL PRIVE LA FONTAINE;101,4
0740148J;LYCEE PROFESSIONNEL PRIVE LA FONTAINE;103,3
0740148J;LYCEE PROFESSIONNEL PRIVE LA FONTAINE;104,2
0420996E;LYCEE PROFESSIONNEL PRIVE LA GRAND GRANGE;103,1
0420996E;LYCEE PROFESSIONNEL PRIVE LA GRAND GRANGE;100,7
0420996E;LYCEE PROFESSIONNEL PRIVE LA GRAND GRANGE;100,5
0420996E;LYCEE PROFESSIONNEL PRIVE LA GRAND GRANGE;100,1
0693374T;LYCEE PROFESSIONNEL PRIVE LA MACHE LYCEE DES METIERS DE LA PRODUCTION ET DES TECHNOLOGIES INDUSTRIEL;116,9
0693374T;LYCEE PROFESSIONNEL PRIVE LA MACHE LYCEE DES METIERS DE LA PRODUCTION ET DES TECHNOLOGIES INDUSTRIEL;116,4
0693374T;LYCEE PROFESSIONNEL PRIVE LA MACHE LYCEE DES METIERS DE LA PRODUCTION ET DES TECHNOLOGIES INDUSTRIEL;118,9
0693374T;LYCEE PROFESSIONNEL PRIVE LA MACHE LYCEE DES METIERS DE LA PRODUCTION ET DES TECHNOLOGIES INDUSTRIEL;120,8
0570279U;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;86,7
0570279U;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;83,9
0570279U;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;86,1
0570279U;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;84,9
0060715V;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;99,1
0570248K;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;83,1
0060715V;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;96,9
0060715V;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;94,6
0060715V;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;101,3
0570248K;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;85
0570248K;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;82,3
0570248K;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;85,5
0501787W;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;95
0501787W;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;93,6
0501787W;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;95,8
0501787W;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;94,8
0260082Y;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;95,7
0260082Y;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;94,5
0260082Y;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;98,7
0260082Y;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE;96,2
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION DU SECRETARIAT E;102,7
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION DU SECRETARIAT E;102,5
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION DU SECRETARIAT E;102
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION DU SECRETARIAT E;103,3
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION ET DU SECRETARIA;102
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION ET DU SECRETARIA;103,3
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION ET DU SECRETARIA;102,5
0490886X;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DE LA VENTE DE LA GESTION ET DU SECRETARIA;102,7
801946,00 F;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DES ENERGIES NOUVELLES ET DU NUMERIQUE;99,6
801946,00 F;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DES ENERGIES NOUVELLES ET DU NUMERIQUE;96
801946,00 F;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DES ENERGIES NOUVELLES ET DU NUMERIQUE;98,5
801946,00 F;LYCEE PROFESSIONNEL PRIVE LA PROVIDENCE LYCEE DES METIERS DES ENERGIES NOUVELLES ET DU NUMERIQUE;98
0331561T;LYCEE PROFESSIONNEL PRIVE LA RUCHE LYCEE DES METIERS DE LA RELATION A L USAGER AU CLIENT A L HUMAIN ;108,5
0331561T;LYCEE PROFESSIONNEL PRIVE LA RUCHE LYCEE DES METIERS DE LA RELATION A L USAGER AU CLIENT A L HUMAIN ;108,9
0331561T;LYCEE PROFESSIONNEL PRIVE LA RUCHE LYCEE DES METIERS DE LA RELATION A L USAGER AU CLIENT A L HUMAIN ;107,5
0331561T;LYCEE PROFESSIONNEL PRIVE LA RUCHE LYCEE DES METIERS DE LA RELATION A L USAGER AU CLIENT A L HUMAIN ;102
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DE L ENERGETIQUE LYCEE DES METIERS DES SERVICES;98,7
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DE L ENERGETIQUE LYCEE DES METIERS DES SERVICES;96,6
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DE L ENERGETIQUE LYCEE DES METIERS DES SERVICES;98,4
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DE L ENERGETIQUE LYCEE DES METIERS DES SERVICES;99,7
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMU;99,7
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMU;98,7
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMU;96,6
0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMU;98,4
0921932A;LYCEE PROFESSIONNEL PRIVE LA SALLE PASSY BUZENVAL;124,6
0921932A;LYCEE PROFESSIONNEL PRIVE LA SALLE PASSY BUZENVAL;120,3
0921932A;LYCEE PROFESSIONNEL PRIVE LA SALLE PASSY BUZENVAL;120,1
0921932A;LYCEE PROFESSIONNEL PRIVE LA SALLE PASSY BUZENVAL;123,1
0693332X;LYCEE PROFESSIONNEL PRIVE LA VIDAUDE;74,8
0693332X;LYCEE PROFESSIONNEL PRIVE LA VIDAUDE;67,5
0693332X;LYCEE PROFESSIONNEL PRIVE LA VIDAUDE;66
0693332X;LYCEE PROFESSIONNEL PRIVE LA VIDAUDE;74,3
0420992A;LYCEE PROFESSIONNEL PRIVE LACHAUX;74,8
0420992A;LYCEE PROFESSIONNEL PRIVE LACHAUX;76,1
0420992A;LYCEE PROFESSIONNEL PRIVE LACHAUX;71,9
0420992A;LYCEE PROFESSIONNEL PRIVE LACHAUX;74,2
0641665M;LYCEE PROFESSIONNEL PRIVE LE BEAU RAMEAU IGON;99,3
0641665M;LYCEE PROFESSIONNEL PRIVE LE BEAU RAMEAU IGON;98,5
0641665M;LYCEE PROFESSIONNEL PRIVE LE BEAU RAMEAU IGON;90,5
0641665M;LYCEE PROFESSIONNEL PRIVE LE BEAU RAMEAU IGON;105
0501789Y;LYCEE PROFESSIONNEL PRIVE LE BON SAUVEUR LYCEE DES METIERS DES SOINS A LA PERSONNE ET DU TOURISME;92,7
0501789Y;LYCEE PROFESSIONNEL PRIVE LE BON SAUVEUR LYCEE DES METIERS DES SOINS A LA PERSONNE ET DU TOURISME;90,4
0501789Y;LYCEE PROFESSIONNEL PRIVE LE BON SAUVEUR LYCEE DES METIERS DES SOINS A LA PERSONNE ET DU TOURISME;92,6
0501789Y;LYCEE PROFESSIONNEL PRIVE LE BON SAUVEUR LYCEE DES METIERS DES SOINS A LA PERSONNE ET DU TOURISME;91,3
0381741L;LYCEE PROFESSIONNEL PRIVE LE BREDA LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERS;90,4
0381741L;LYCEE PROFESSIONNEL PRIVE LE BREDA LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERS;87,3
0381741L;LYCEE PROFESSIONNEL PRIVE LE BREDA LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERS;88
0381741L;LYCEE PROFESSIONNEL PRIVE LE BREDA LYCEE DES METIERS DU COMMERCE DU SOCIAL ET DES SERVICES A LA PERS;88,2
0640179X;LYCEE PROFESSIONNEL PRIVE LE GUICHOT;98,5
0640179X;LYCEE PROFESSIONNEL PRIVE LE GUICHOT;76,9
0640179X;LYCEE PROFESSIONNEL PRIVE LE GUICHOT;77
0640179X;LYCEE PROFESSIONNEL PRIVE LE GUICHOT;98,4
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE DE LA GESTION ET DU COM;98,7
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE DE LA GESTION ET DU COM;103,6
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE DE LA GESTION ET DU COM;104,3
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE DE LA GESTION ET DU COM;98,8
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE LYCEE DES METIERS DE LA;104,3
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE LYCEE DES METIERS DE LA;98,7
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE LYCEE DES METIERS DE LA;103,6
0292144Y;LYCEE PROFESSIONNEL PRIVE LE LIKES LA SALLE LYCEE DES METIERS DE L INDUSTRIE LYCEE DES METIERS DE LA;98,8
0420991Z;LYCEE PROFESSIONNEL PRIVE LE MARAIS STE THERESE LYCEE DES METIERS DES TECHNOLOGIES DE LA PRECISION;97,3
0420991Z;LYCEE PROFESSIONNEL PRIVE LE MARAIS STE THERESE LYCEE DES METIERS DES TECHNOLOGIES DE LA PRECISION;95
0420991Z;LYCEE PROFESSIONNEL PRIVE LE MARAIS STE THERESE LYCEE DES METIERS DES TECHNOLOGIES DE LA PRECISION;90,8
0420991Z;LYCEE PROFESSIONNEL PRIVE LE MARAIS STE THERESE LYCEE DES METIERS DES TECHNOLOGIES DE LA PRECISION;94,5
0730772T;LYCEE PROFESSIONNEL PRIVE LE MARGERIAZ;94
0730772T;LYCEE PROFESSIONNEL PRIVE LE MARGERIAZ;93
0730772T;LYCEE PROFESSIONNEL PRIVE LE MARGERIAZ;94,5
0730772T;LYCEE PROFESSIONNEL PRIVE LE MARGERIAZ;96,4
0440282T;LYCEE PROFESSIONNEL PRIVE LE MASLE LYCEE DES METIERS DE LA RELATION CLIENT;95,3
0440282T;LYCEE PROFESSIONNEL PRIVE LE MASLE LYCEE DES METIERS DE LA RELATION CLIENT;97,2
0440282T;LYCEE PROFESSIONNEL PRIVE LE MASLE LYCEE DES METIERS DE LA RELATION CLIENT;96,2
0440282T;LYCEE PROFESSIONNEL PRIVE LE MASLE LYCEE DES METIERS DE LA RELATION CLIENT;90,8
0340923U;LYCEE PROFESSIONNEL PRIVE LE PARTERRE;90,2
0340923U;LYCEE PROFESSIONNEL PRIVE LE PARTERRE;90,1
0340923U;LYCEE PROFESSIONNEL PRIVE LE PARTERRE;91,3
0340923U;LYCEE PROFESSIONNEL PRIVE LE PARTERRE;104,6
0490903R;LYCEE PROFESSIONNEL PRIVE LE PINIER NEUF LYCEE DES METIERS DE LA MAINTENANCE DE L ENERGIE DE LA CONS;97,6
0490903R;LYCEE PROFESSIONNEL PRIVE LE PINIER NEUF LYCEE DES METIERS DE LA MAINTENANCE DE L ENERGIE DE LA CONS;99,1
0490903R;LYCEE PROFESSIONNEL PRIVE LE PINIER NEUF LYCEE DES METIERS DE LA MAINTENANCE DE L ENERGIE DE LA CONS;95
0490903R;LYCEE PROFESSIONNEL PRIVE LE PINIER NEUF LYCEE DES METIERS DE LA MAINTENANCE DE L ENERGIE DE LA CONS;98,9
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE ET DU SANITAIRE ET SOCIAL;90,7
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE ET DU SANITAIRE ET SOCIAL;95,3
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE ET DU SANITAIRE ET SOCIAL;91,5
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE ET DU SANITAIRE ET SOCIAL;89,6
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE LYCEE DES METIERS DU SANITAIRE E;90,7
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE LYCEE DES METIERS DU SANITAIRE E;95,3
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE LYCEE DES METIERS DU SANITAIRE E;91,5
0290200K;LYCEE PROFESSIONNEL PRIVE LE PORSMEUR LYCEE DES METIERS DE LA VENTE LYCEE DES METIERS DU SANITAIRE E;89,6
0131485U;LYCEE PROFESSIONNEL PRIVE LE ROCHER;92,4
0131485U;LYCEE PROFESSIONNEL PRIVE LE ROCHER;96,2
0131485U;LYCEE PROFESSIONNEL PRIVE LE ROCHER;91,8
0131485U;LYCEE PROFESSIONNEL PRIVE LE ROCHER;97,2
0131485U;LYCEE PROFESSIONNEL PRIVE LE ROCHER LYCEE DES METIERS DES SOINS ET SERVICES A LA PERSONNE;97,2
