UAI;Nom_lycee;IPS_voie_pro
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;77,2
0870004G;LP PUBLIC MARTIN NADAUD LYC MET DU BATIMENT DE L ENERGETIQUE DE LA CLIMATIQUE ET DU DEVELOPPEMENT DU;71,8
0140056K;LPO ALBERT SOREL;86,8
0140056K;LPO ALBERT SOREL;87,1
0140056K;LPO ALBERT SOREL;88
0140056K;LPO ALBERT SOREL;85,9
9760338N;LPO DE DEMBENI;61,3
9760338N;LPO DE DEMBENI;63,1
9760338N;LPO DE DEMBENI;61,2
9760338N;LPO DE DEMBENI;62,4
9760229V;LPO DE PETITE TERRE;64,5
9760229V;LPO DE PETITE TERRE;65,6
9760229V;LPO DE PETITE TERRE;66,7
9760229V;LPO DE PETITE TERRE;66,3
9760182U;LPO DE SADA;63,1
9760182U;LPO DE SADA;63,8
9760182U;LPO DE SADA;62,3
9760182U;LPO DE SADA;63,5
9760270P;LPO DU NORD;62,5
9760270P;LPO DU NORD;58,6
9760270P;LPO DU NORD;63,4
9760270P;LPO DU NORD;59
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;100,5
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;98,2
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;96,2
251671,00 F;LPO EDGAR FAURE LYCEE DES METIERS DE L HORLOGERIE DE LA BIJOUTERIE ET DE LA JOAILLERIE;98,6
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;91,9
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;95
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;91,6
0700905D;LPO EDOUARD BELIN LYCEE DES METIERS DE L INGENIERIE NUMERIQUE;89,4
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;83,3
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;82,5
0720033V;LPO GABRIEL TOUCHARD WASHINGTON LYC MET DE LA PROTHESE DENTAIRE LYC MET DU MANAGEMENT ET DE LA GESTI;82,1
